Letter	Count	Ratio
E		39800	0.12145921960925532
T		28818	0.0879450198668221
O		26026	0.07942456405905726
A		25263	0.0770960870600155
N		21825	0.06660420773798988
H		21204	0.06470907770338316
I		20815	0.06352195115996606
S		19714	0.06016198631600149
R		18881	0.05761988757392838
D		16617	0.05071075005645718
L		14594	0.04453708168285106
U		9755	0.0297697157610122
G		8619	0.02630294004553195
W		8397	0.02562545394620394
M		7394	0.02256455954248326
Y		7292	0.022253282145494716
F		6857	0.020925775599514165
C		6696	0.02043444559054205
P		5433	0.0165800989984192
B		5328	0.01625966638387217
K		4009	0.012234422397324234
V		2908	0.008874457553359659
Q		420	0.0012817304581881214
X		383	0.0011688161083001202
J		370	0.0011291434988800117
Z		264	0.0008056591451468192
