Letter	Count	Ratio
A		136108	0.1093602360306737
E		119278	0.09583764534977149
I		114324	0.09185719887126943
L		100854	0.08103430543860439
R		93701	0.07528700352888998
N		87654	0.07042835196338697
I		55453	0.04455544985312362
T		53348	0.04286412166635599
K		51542	0.04141303439542851
M		49032	0.039396296272489445
D		46578	0.037424553103687655
S		43211	0.03471923148618333
O		38427	0.0308753768327409
U		31467	0.02528314681853535
B		26703	0.021455361791570517
Y		24626	0.019786531081871533
Ü		18552	0.014906185520623758
G		17741	0.014254562166956992
Ş		17497	0.014058512723930244
C		16142	0.012969795530072699
P		15275	0.012273177222268646
Z		14441	0.011603073798152636
Ğ		14404	0.011573344989169072
V		13604	0.010930559930064986
H		12373	0.009941474420368574
Ç		10639	0.008548237804760467
F		8484	0.006816735551798834
Ö		7619	0.006121724206642541
J		2144	0.001722663958398951
İ		1450	0.0011650479196261563
W		1190	0.0009561427754173282
X		453	0.0003639770397176888
Q		270	0.00021693995744762908
